Te_K,Tc_K,superheat_K,subcool_K,h1,h2s,h2,h3,Qe,Wc,COP,P1,P3
273.15,311.9,5,0,401492.2905,422949.6456,430102.0973,254546.8455,146945.4449,28609.80679,5.136191447,349658.6079,982939.2965
273.15,311.9,5,2.5,401492.2905,422949.6456,430102.0973,250845.7474,150646.543,28609.80679,5.265556113,349658.6079,982939.2965
273.15,311.9,5,5,401492.2905,422949.6456,430102.0973,247174.9421,154317.3484,28609.80679,5.393861954,349658.6079,982939.2965
273.15,311.9,5,7.5,401492.2905,422949.6456,430102.0973,243532.9786,157959.3119,28609.80679,5.521159686,349658.6079,982939.2965
273.15,311.9,5,10,401492.2905,422949.6456,430102.0973,239918.526,161573.7645,28609.80679,5.647495829,349658.6079,982939.2965
273.15,311.9,7.5,0,402913.5542,422569.1758,429121.0497,254546.8455,148366.7087,26207.49552,5.661231862,381076.6891,982939.2965
273.15,311.9,7.5,2.5,402913.5542,422569.1758,429121.0497,250845.7474,152067.8068,26207.49552,5.802454746,381076.6891,982939.2965
273.15,311.9,7.5,5,402913.5542,422569.1758,429121.0497,247174.9421,155738.6121,26207.49552,5.942521749,381076.6891,982939.2965
273.15,312.3166667,0,0,398603.4536,424014.458,432484.7928,255166.7496,143436.704,33881.33913,4.233501617,292803.1823,994062.83
273.15,312.3166667,0,2.5,398603.4536,424014.458,432484.7928,251460.4524,147143.0012,33881.33913,4.342892135,292803.1823,994062.83
273.15,312.3166667,0,5,398603.4536,424014.458,432484.7928,247784.7025,150818.7512,33881.33913,4.451381056,292803.1823,994062.83
273.15,312.3166667,0,7.5,398603.4536,424014.458,432484.7928,244138.0275,154465.4261,33881.33913,4.559011837,292803.1823,994062.83
273.15,312.3166667,0,10,398603.4536,424014.458,432484.7928,240519.0775,158084.3762,33881.33913,4.665824322,292803.1823,994062.83
273.15,312.3166667,2.5,0,400055.2854,423587.3821,431431.4143,255166.7496,144888.5358,31376.12887,4.617795151,320263.4909,994062.83
273.15,312.3166667,2.5,2.5,400055.2854,423587.3821,431431.4143,251460.4524,148594.833,31376.12887,4.735919897,320263.4909,994062.83
273.15,312.3166667,2.5,5,400055.2854,423587.3821,431431.4143,247784.7025,152270.5829,31376.12887,4.853071058,320263.4909,994062.83
273.15,312.3166667,2.5,7.5,400055.2854,423587.3821,431431.4143,244138.0275,155917.2579,31376.12887,4.969295561,320263.4909,994062.83
273.15,312.3166667,2.5,10,400055.2854,423587.3821,431431.4143,240519.0775,159536.2079,31376.12887,5.084636432,320263.4909,994062.83
273.15,312.3166667,5,0,401492.2905,423184.3297,430415.0094,255166.7496,146325.5408,28922.71893,5.059190362,349658.6079,994062.83
273.15,312.3166667,5,2.5,401492.2905,423184.3297,430415.0094,251460.4524,150031.8381,28922.71893,5.187335204,349658.6079,994062.83
273.15,312.3166667,5,5,401492.2905,423184.3297,430415.0094,247784.7025,153707.588,28922.71893,5.314423875,349658.6079,994062.83
273.15,312.3166667,5,7.5,401492.2905,423184.3297,430415.0094,244138.0275,157354.263,28922.71893,5.440507284,349658.6079,994062.83
273.15,312.3166667,5,10,401492.2905,423184.3297,430415.0094,240519.0775,160973.213,28922.71893,5.565632105,349658.6079,994062.83
273.15,312.3166667,7.5,0,402913.5542,422803.3145,429433.2345,255166.7496,147746.8046,26519.68034,5.57121363,381076.6891,994062.83
273.15,312.3166667,7.5,2.5,402913.5542,422803.3145,429433.2345,251460.4524,151453.1018,26519.68034,5.710970113,381076.6891,994062.83
273.15,312.3166667,7.5,5,402913.5542,422803.3145,429433.2345,247784.7025,155128.8517,26519.68034,5.849574722,381076.6891,994062.83
273.15,312.3166667,7.5,7.5,402913.5542,422803.3145,429433.2345,244138.0275,158775.5267,26519.68034,5.987082978,381076.6891,994062.83
273.15,312.7333333,0,0,398603.4536,424249.6145,432798.3347,255787.5467,142815.9069,34194.88111,4.176528835,292803.1823,1005280.564
273.15,312.7333333,0,2.5,398603.4536,424249.6145,432798.3347,252076.0055,146527.4481,34194.88111,4.285069675,292803.1823,1005280.564
273.15,312.7333333,0,5,398603.4536,424249.6145,432798.3347,248395.2702,150208.1834,34194.88111,4.392709627,292803.1823,1005280.564
273.15,312.7333333,0,7.5,398603.4536,424249.6145,432798.3347,244743.8463,153859.6074,34194.88111,4.499492392,292803.1823,1005280.564
273.15,312.7333333,0,10,398603.4536,424249.6145,432798.3347,241120.3644,157483.0892,34194.88111,4.605458014,292803.1823,1005280.564
273.15,312.7333333,2.5,0,400055.2854,423821.9298,431744.1445,255787.5467,144267.7387,31688.85915,4.552632773,320263.4909,1005280.564
273.15,312.7333333,2.5,2.5,400055.2854,423821.9298,431744.1445,252076.0055,147979.2799,31688.85915,4.669757253,320263.4909,1005280.564
273.15,312.7333333,2.5,5,400055.2854,423821.9298,431744.1445,248395.2702,151660.0152,31688.85915,4.785909599,320263.4909,1005280.564
273.15,312.7333333,2.5,7.5,400055.2854,423821.9298,431744.1445,244743.8463,155311.4391,31688.85915,4.901136971,320263.4909,1005280.564
273.15,312.7333333,2.5,10,400055.2854,423821.9298,431744.1445,241120.3644,158934.921,31688.85915,5.015482579,320263.4909,1005280.564
273.15,312.7333333,5,0,401492.2905,423418.3016,430726.9719,255787.5467,145704.7438,29234.68148,4.983968917,349658.6079,1005280.564
273.15,312.7333333,5,2.5,401492.2905,423418.3016,430726.9719,252076.0055,149416.2849,29234.68148,5.110925701,349658.6079,1005280.564
273.15,312.7333333,5,5,401492.2905,423418.3016,430726.9719,248395.2702,153097.0203,29234.68148,5.236828743,349658.6079,1005280.564
273.15,312.7333333,5,7.5,401492.2905,423418.3016,430726.9719,244743.8463,156748.4442,29234.68148,5.361729162,349658.6079,1005280.564
273.15,312.7333333,5,10,401492.2905,423418.3016,430726.9719,241120.3644,160371.9261,29234.68148,5.485673795,349658.6079,1005280.564
273.15,312.7333333,7.5,0,402913.5542,423036.7409,429744.4698,255787.5467,147126.0075,26830.91562,5.483450867,381076.6891,1005280.564
273.15,312.7333333,7.5,2.5,402913.5542,423036.7409,429744.4698,252076.0055,150837.5487,26830.91562,5.621781635,381076.6891,1005280.564
273.15,312.7333333,7.5,5,402913.5542,423036.7409,429744.4698,248395.2702,154518.284,26830.91562,5.758964256,381076.6891,1005280.564
273.15,312.7333333,7.5,7.5,402913.5542,423036.7409,429744.4698,244743.8463,158169.7079,26830.91562,5.895054429,381076.6891,1005280.564
273.15,313.15,0,0,398603.4536,424484.0596,433110.9283,256409.2446,142194.2091,34507.47467,4.120678503,292803.1823,1016593.022
273.15,313.15,0,2.5,398603.4536,424484.0596,433110.9283,252692.4141,145911.0395,34507.47467,4.228389383,292803.1823,1016593.022
273.15,313.15,0,5,398603.4536,424484.0596,433110.9283,249006.6519,149596.8018,34507.47467,4.33519993,292803.1823,1016593.022
273.15,313.15,0,7.5,398603.4536,424484.0596,433110.9283,245350.4409,153253.0127,34507.47467,4.441154102,292803.1823,1016593.022
273.15,313.15,0,10,398603.4536,424484.0596,433110.9283,241722.3923,156881.0613,34507.47467,4.546292153,292803.1823,1016593.022
273.15,313.15,2.5,0,400055.2854,424055.7662,432055.9265,256409.2446,143646.0408,32000.64108,4.488848848,320263.4909,1016593.022
273.15,313.15,2.5,2.5,400055.2854,424055.7662,432055.9265,252692.4141,147362.8713,32000.64108,4.604997473,320263.4909,1016593.022
273.15,313.15,2.5,5,400055.2854,424055.7662,432055.9265,249006.6519,151048.6335,32000.64108,4.720175236,320263.4909,1016593.022
273.15,313.15,2.5,7.5,400055.2854,424055.7662,432055.9265,245350.4409,154704.8444,32000.64108,4.834429538,320263.4909,1016593.022
273.15,313.15,2.5,10,400055.2854,424055.7662,432055.9265,241722.3923,158332.8931,32000.64108,4.947803787,320263.4909,1016593.022
273.15,313.15,5,0,401492.2905,423651.5623,431037.9862,256409.2446,145083.0459,29545.69572,4.910463008,349658.6079,1016593.022
273.15,313.15,5,2.5,401492.2905,423651.5623,431037.9862,252692.4141,148799.8764,29545.69572,5.036262397,349658.6079,1016593.022
273.15,313.15,5,5,401492.2905,423651.5623,431037.9862,249006.6519,152485.6386,29545.69572,5.161010255,349658.6079,1016593.022
273.15,313.15,5,7.5,401492.2905,423651.5623,431037.9862,245350.4409,156141.8495,29545.69572,5.284757921,349658.6079,1016593.022
273.15,313.15,5,10,401492.2905,423651.5623,431037.9862,241722.3923,159769.8982,29545.69572,5.407552411,349658.6079,1016593.022
273.15,313.15,7.5,0,402913.5542,423269.4562,430054.7568,256409.2446,146504.3096,27141.20263,5.397856228,381076.6891,1016593.022
273.15,313.15,7.5,2.5,402913.5542,423269.4562,430054.7568,252692.4141,150221.1401,27141.20263,5.534800434,381076.6891,1016593.022
273.15,313.15,7.5,5,402913.5542,423269.4562,430054.7568,249006.6519,153906.9023,27141.20263,5.670599952,381076.6891,1016593.022
